wave,arm,step,val_acc,resp_len,clip_ratio,tps,tokens,h_target,h9_budget
legacy,a4_dagger_anneal,25,0.488,6852.6953125,0.1171875,207.72449396923184,893276,,
legacy,a4_dagger_anneal,26,,6683.3203125,0.0859375,135.9307045377791,872207,,
legacy,a4_dagger_anneal,27,,6085.90625,0.0625,120.11503414064646,795958,,
legacy,a4_dagger_anneal,28,,6945.421875,0.125,168.8697486743331,907131,,
legacy,a4_dagger_anneal,29,,6289.09375,0.0625,156.0551188327372,821157,,
legacy,a4_dagger_anneal,30,,6774.7734375,0.109375,176.81347116455436,883482,,
legacy,a4_dagger_anneal,31,,7189.0546875,0.109375,177.59388125687838,936544,,
legacy,a4_dagger_anneal,32,,6230.21875,0.0546875,136.3913155645132,812640,,
legacy,a4_dagger_anneal,33,,7144.2890625,0.109375,169.8868375532329,931422,,
legacy,a4_dagger_anneal,34,,6408.453125,0.0546875,141.77966402843595,838105,,
legacy,a4_dagger_anneal,35,,6783.2578125,0.125,178.31126343086362,886527,,
legacy,a4_dagger_anneal,36,,6843.2109375,0.09375,167.35294526070356,892329,,
legacy,a4_dagger_anneal,37,,6408.109375,0.125,181.22224374487996,836400,,
legacy,a4_dagger_anneal,38,,6330.1171875,0.0859375,175.48474025726318,827615,,
legacy,a4_dagger_anneal,39,,5775.265625,0.046875,151.57014175504446,754191,,
legacy,a4_dagger_anneal,40,,6728.125,0.109375,196.33639781922102,876907,,
legacy,a4_dagger_anneal,41,,6346.0625,0.0625,166.04874209314585,828641,,
legacy,a4_dagger_anneal,42,,7212.9921875,0.140625,182.69111616536975,939659,,
legacy,a4_dagger_anneal,43,,6423.2890625,0.09375,148.68228962272406,837218,,
legacy,a4_dagger_anneal,44,,6692.28125,0.09375,183.354770924896,873218,,
legacy,a4_dagger_anneal,45,,6253.7578125,0.0625,167.57704995572567,817562,,
legacy,a4_dagger_anneal,46,,5799.28125,0.0546875,119.49727629497647,757831,,
legacy,a4_dagger_anneal,47,,6362.296875,0.0859375,163.53518690541387,830234,,
legacy,a4_dagger_anneal,48,,6714.5625,0.0859375,213.1392836049199,876175,,
legacy,a4_dagger_anneal,49,,7350.3203125,0.1015625,201.62965093553066,959456,,
legacy,a4_dagger_anneal,50,0.57,6849.5390625,0.140625,218.76158227398992,893805,,
legacy,a4_dagger_anneal,51,,6303.1171875,0.078125,183.1420015282929,823768,,
legacy,a4_dagger_anneal,52,,6689.8046875,0.1171875,194.93838771432638,873185,,
legacy,a4_dagger_anneal,53,,6268.6171875,0.1015625,177.96794760599732,817294,,
legacy,a4_dagger_anneal,54,,7281.6484375,0.1484375,255.078913487494,948027,,
legacy,a4_dagger_anneal,55,,6689.09375,0.09375,205.00265342742205,872691,,
legacy,a4_dagger_anneal,56,,7041.2109375,0.1328125,199.72820375487208,918571,,
legacy,a4_dagger_anneal,57,,6664.8515625,0.09375,173.3804684355855,869952,,
legacy,a4_dagger_anneal,58,,6805.6875,0.078125,187.59424079582095,885930,,
legacy,a4_dagger_anneal,59,,7095.8671875,0.15625,238.81637745723128,924450,,
legacy,a4_dagger_anneal,60,,7744.359375,0.171875,263.89030070230365,1009665,,
legacy,a4_dagger_anneal,61,,7383.8203125,0.1640625,253.15107279270887,963628,,
legacy,a4_dagger_anneal,62,,7351.3984375,0.1640625,230.66060197353363,959335,,
legacy,a4_dagger_anneal,63,,8014.609375,0.1796875,266.85299798101187,1043229,,
legacy,a4_dagger_anneal,64,,8752.1328125,0.265625,310.5517760440707,1139959,,
legacy,a4_dagger_anneal,65,,7900.0546875,0.1640625,243.99711813032627,1028063,,
legacy,a4_dagger_anneal,66,,8719.171875,0.2578125,315.98939864337444,1132859,,
legacy,a4_dagger_anneal,67,,7876.625,0.21875,256.82864247635007,1024558,,
legacy,a4_dagger_anneal,68,,7611.0625,0.1796875,277.4251561127603,989111,,
legacy,a4_dagger_anneal,69,,7818.4453125,0.1953125,269.20046453922987,1016478,,
legacy,a4_dagger_anneal,70,,8724.5234375,0.265625,314.5953488871455,1134112,,
legacy,a4_dagger_anneal,71,,8533.34375,0.2265625,320.4192201048136,1108770,,
legacy,a4_dagger_anneal,72,,7663.890625,0.203125,268.6454770937562,997949,,
legacy,a4_dagger_anneal,73,,8272.3515625,0.203125,277.6637458316982,1076671,,
legacy,a4_dagger_anneal,76,,7765.921875,0.1875,322.16185825131834,1010906,,
legacy,a4_dagger_anneal,77,,8025.578125,0.203125,274.57757855579257,1043225,,
legacy,a4_dagger_anneal,78,,7461.46875,0.1875,275.02284064516425,972174,,
legacy,a4_dagger_anneal,79,,8989.0625,0.234375,317.55583849549294,1167373,,
legacy,a4_dagger_anneal,80,,8227.578125,0.203125,305.7696989979595,1069927,,
legacy,a4_dagger_anneal,81,,8444.09375,0.1953125,283.1437085568905,1098330,,
legacy,a4_dagger_anneal,82,,7658.875,0.1875,278.2538706846535,996409,,
legacy,a4_dagger_anneal,83,,8502.828125,0.2421875,306.19241978786886,1106393,,
legacy,a4_dagger_anneal,84,,8199.109375,0.2421875,263.60019630007446,1065210,,
legacy,a4_dagger_anneal,85,,8761.1953125,0.25,342.3897729050368,1137613,,
legacy,a4_dagger_anneal,86,,8851.5546875,0.2734375,340.43758084997535,1150404,,
legacy,a4_dagger_anneal,87,,7928.7734375,0.1953125,275.4769643973559,1032889,,
legacy,a4_dagger_anneal,88,,9051.7265625,0.2734375,317.69100463576615,1176296,,
