wave,arm,step,val_acc,resp_len,clip_ratio
corr,d2_selectkd,63,,12778.5,0.625
corr,d2_selectkd,64,,12002.5546875,0.578125
corr,d2_selectkd,65,,11785.5078125,0.5703125
corr,d2_selectkd,66,,11052.3671875,0.46875
corr,d2_selectkd,67,,10539.0546875,0.453125
corr,d2_selectkd,68,,11239.578125,0.515625
corr,d2_selectkd,69,,11380.5390625,0.4609375
corr,d2_selectkd,70,,11879.9765625,0.5234375
corr,d2_selectkd,71,,11385.6640625,0.4921875
corr,d2_selectkd,72,,11540.390625,0.4765625
corr,d2_selectkd,73,,10391.7265625,0.359375
corr,d2_selectkd,74,,10641.109375,0.4296875
corr,d2_selectkd,75,0.6,11272.8671875,0.4453125
corr,d2_selectkd,76,,10861.3046875,0.3984375
corr,d2_selectkd,77,,10177.546875,0.359375
corr,d2_selectkd,78,,10796.8359375,0.40625
corr,d2_selectkd,79,,10335.0859375,0.328125
corr,d2_selectkd,80,,9351.25,0.2578125
corr,d2_selectkd,81,,9234.890625,0.2109375
corr,d2_selectkd,82,,9502.2265625,0.2578125
corr,d2_selectkd,83,,9556.1640625,0.25
corr,d2_selectkd,84,,9413.9375,0.21875
corr,d2_selectkd,85,,10123.1796875,0.265625
corr,d2_selectkd,86,,10250.0703125,0.265625
corr,d2_selectkd,87,,9561.6171875,0.21875
